,total_acidity,chlorides,pH,sulphates,alcohol,quality
0,7.63,0.045,3.0,0.45,8.8,1
1,6.9399999999999995,0.049,3.3,0.49,9.5,1
2,8.78,0.05,3.26,0.44,10.1,1
3,7.750000000000001,0.058,3.19,0.4,9.9,1
4,7.750000000000001,0.058,3.19,0.4,9.9,1
5,8.78,0.05,3.26,0.44,10.1,1
6,6.680000000000001,0.045,3.18,0.47,9.6,1
7,7.63,0.045,3.0,0.45,8.8,1
8,6.9399999999999995,0.049,3.3,0.49,9.5,1
9,8.75,0.044,3.22,0.45,11.0,1
10,8.78,0.033,2.99,0.56,12.0,0
11,9.23,0.035,3.14,0.53,9.7,0
12,8.45,0.04,3.18,0.63,10.8,0
13,7.16,0.044,3.54,0.52,12.4,1
14,9.34,0.04,2.98,0.67,9.7,0
15,7.1499999999999995,0.032,3.25,0.55,11.4,1
16,6.819999999999999,0.046,3.24,0.36,9.6,1
17,8.348813330764784,0.029,3.33,0.39,12.8,1
18,8.16,0.033,3.12,0.53,11.3,1
19,6.949999999999999,0.044,3.22,0.5,9.5,0
20,7.34,0.029,3.33,0.39,12.8,1
21,7.09,0.038,3.17,0.35,11.0,1
22,7.4799999999999995,0.049,3.47,0.48,10.5,1
23,8.41,0.074,3.05,0.51,9.3,0
24,7.279999999999999,0.052,3.42,0.47,10.0,1
25,7.57,0.046,3.25,0.5,10.4,1
26,7.49,0.052,3.45,0.44,10.0,1
27,7.67,0.051,3.38,0.53,10.5,1
28,8.15,0.047,3.19,0.49,11.6,1
29,7.880000000000001,0.033,3.1,0.71,12.3,1
30,9.13,0.044,3.2,0.53,10.0,1
31,8.780000000000001,0.042,3.47,0.4,10.2,1
32,8.01,0.05,3.19,0.44,10.8,1
33,6.66,0.045,3.42,0.51,9.0,1
34,6.2700000000000005,0.044,3.37,0.37,10.2,0
35,8.01,0.08,3.19,0.42,12.8,0
36,7.12,0.051,3.24,0.35,10.0,0
37,7.65,0.053,3.13,0.28,11.2,1
38,7.93,0.057,3.21,0.36,8.6,0
39,7.93,0.057,3.21,0.36,8.6,0
40,7.32,0.172,3.11,0.36,9.4,1
41,7.33,0.173,3.1,0.34,9.4,1
42,7.569999999999999,0.069,3.13,0.46,9.8,1
43,7.109999999999999,0.057,3.22,0.56,9.5,1
44,7.19,0.06,3.24,0.56,9.5,1
45,7.89,0.058,3.16,0.53,10.0,1
46,6.91,0.063,3.27,0.52,9.8,0
47,6.91,0.066,3.25,0.52,9.8,0
48,7.569999999999999,0.069,3.13,0.46,9.8,1
49,7.44,0.067,3.36,0.48,9.8,0
50,7.7,0.062,3.35,0.44,11.7,1
51,7.14,0.068,3.34,0.58,11.0,1
52,6.69,0.057,3.32,0.46,10.9,1
53,6.93,0.045,3.31,0.35,10.9,1
54,7.59,0.147,3.217616021567495,0.38,9.1,1
55,7.5,0.039,3.13,0.52,11.0,1
56,7.75,0.043,3.09,0.5,9.6,1
57,6.45,0.048,3.3,0.36,8.9,1
58,7.13,0.044,3.11,0.38,10.2,1
59,7.960000000000001,0.038,3.36,0.34,9.9,1
60,7.26,0.092,3.03,0.46,8.6,1
61,6.45,0.048,3.3,0.36,8.9,1
62,7.54,0.035,3.02,0.34,10.5,0
63,7.13,0.044,3.11,0.38,10.2,1
64,7.710000000000001,0.038,3.15,0.46,10.3,1
65,6.58,0.064,3.22,0.54,9.1,0
66,6.9,0.04,3.22,0.49,12.6,1
67,7.08,0.041,3.14,0.42,9.8,0
68,7.24,0.046,3.33,0.64,10.7,1
69,7.930000000000001,0.05,3.13,0.35,9.5,0
70,6.9,0.056,3.1,0.51,9.0,1
71,7.33,0.061,3.32,0.6,9.5,0
72,6.55,0.063,3.69,0.71,10.0,0
73,9.290000000000001,0.054,2.95,0.49,9.1,1
